Group,Classification,Name,xFwd,xAft,yCentre,ySize,zHeight,zBase,FixedWeight_lightships,VariableWeight_cond1,VariableWeight_cond2,FluidDensity,AreaRequired,VolRequired,File
BridgeDeck,703,AccessStairs2,63,59,-6.5,5,4.15,19.2,,,,,,,AccessStairs2.stl
BridgeDeck,704,ShipHanding1,63,56,0,8,4.15,19.2,,,,,,,ShipHanding.stl
BridgeDeck,705,MainRoom1,71,63,0,16,4.15,19.2,,,,,,,MainRoom.stl
BridgeDeck,706,NavigationRoom1,80,71,0,8,4.15,19.2,,,,,,,NavigationRoom.stl

WheelHouseTop,801,EmGenRoom1,74,63,-1.5,6,5,23.35,,,,,,,EmGenRoom.stl
WheelHouseTop,802,Communication1,74,63,3,3,5,23.35,,,,,,,CommunicationRoom.stl
WheelHouseTop,803,Aerial1,64,63.5,3.75,0.5,2,28.35,,,,,,,aerial.stl
WheelHouseTop,804,Aerial2,65,64.5,3.75,0.5,2,28.35,,,,,,,aerial.stl
WheelHouseTop,805,Aerial3,64,63.5,2.5,0.5,2,28.35,,,,,,,aerial.stl
WheelHouseTop,806,Aerial4,65,64.5,2.5,0.5,2,28.35,,,,,,,aerial.stl
